"Grain sorghum"|"Bu"||55|||||||"22426926"|"44874281"
"Cotton lint"|"Lbs"||650|||||||"22426926"|"44874280"
"Grass-legume hay"|"Tons"||5.5||||||"I"|"22426926"|"44874284"
"Wheat"|"Bu"|64|64|90|||||"I"|"22426926"|"44874285"
"Barley"||90|90|113|||||"I"|"22426926"|"44874286"
"Pasture"|"AUM"||11.5||||||"I"|"22426926"|"44874282"
"Soybeans"|"Bu"|40|50|50|||||"Ia"|"22426926"|"44874283"
"Corn"|"Bu"||160||||||"Ia"|"22426926"|"44874279"
"Alfalfa hay"|"Tons"||5.5||||||"II"|"22426926"|"44874278"
"Cotton lint"|"Lbs"||500|||||||"22426928"|"44874296"
"Peanuts"|"Lbs"||2800|||||||"22426928"|"44874298"
"Barley"|"Bu"|60|60|75|||||"IV"|"22426928"|"44874294"
"Grass-legume hay"|"Tons"||3||||||"IV"|"22426928"|"44874300"
"Soybeans"|"Bu"|18|25|25|||||"IV"|"22426928"|"44874299"
"Pasture"|"AUM"||7.5||||||"IV"|"22426928"|"44874297"
"Wheat"|"Bu"|48|48|60|||||"IV"|"22426928"|"44874301"
"Corn"|"Bu"||85||||||"IVb"|"22426928"|"44874295"
"Cotton lint"|"Lbs"||450|||||||"22426876"|"44874145"
"Peanuts"|"Lbs"||2500|||||||"22426876"|"44874148"
"Grass-legume hay"|"Tons"||2.6||||||"IV"|"22426876"|"44874146"
"Barley"|"Bu"|53|53|66|||||"IV"|"22426876"|"44874143"
"Soybeans"|"Bu"|16|22|22|||||"IV"|"22426876"|"44874149"
"Pasture"|"AUM"||7||||||"IV"|"22426876"|"44874147"
"Wheat"|"Bu"|42|42|53|||||"IV"|"22426876"|"44874150"
"Corn"|"Bu"||75||||||"IVb"|"22426876"|"44874144"
"Cotton lint"|"Lbs"||500|||||||"22426877"|"44874153"
"Peanuts"|"Lbs"||2800|||||||"22426877"|"44874156"
"Barley"|"Bu"|60|60|75|||||"IV"|"22426877"|"44874151"
"Grass-legume hay"|"Tons"||3||||||"IV"|"22426877"|"44874154"
"Soybeans"|"Bu"|18|25|25|||||"IV"|"22426877"|"44874157"
"Pasture"|"AUM"||7.5||||||"IV"|"22426877"|"44874155"
"Wheat"|"Bu"|48|48|60|||||"IV"|"22426877"|"44874158"
"Corn"|"Bu"||85||||||"IVb"|"22426877"|"44874152"
"Cotton lint"|"Lbs"||550|||||||"22426878"|"44874161"
"Peanuts"|"Lbs"||3000|||||||"22426878"|"44874164"
"Barley"|"Bu"|70|70|88|||||"II"|"22426878"|"44874159"
"Wheat"|"Bu"|56|56|70|||||"II"|"22426878"|"44874166"
"Grass-legume hay"|"Tons"||3.5||||||"III"|"22426878"|"44874162"
"Pasture"|"AUM"||8||||||"III"|"22426878"|"44874163"
"Soybeans"|"Bu"|18|25|25|||||"IV"|"22426878"|"44874165"
"Corn"|"Bu"||85||||||"IVb"|"22426878"|"44874160"
"Cotton lint"|"Lbs"||500|||||||"22426879"|"44874170"
"Peanuts"|"Lbs"||2500|||||||"22426879"|"44874173"
"Barley"|"Bu"|62|62|77|||||"II"|"22426879"|"44874168"
"Wheat"|"Bu"|49|49|62|||||"II"|"22426879"|"44874167"
"Grass-legume hay"|"Tons"||3.1||||||"III"|"22426879"|"44874171"
"Pasture"|"AUM"||7.5||||||"III"|"22426879"|"44874172"
"Soybeans"|"Bu"|16|22|22|||||"IV"|"22426879"|"44874174"
"Corn"|"Bu"||75||||||"IVb"|"22426879"|"44874169"
"Cotton lint"|"Lbs"||450|||||||"22426880"|"44874177"
"Peanuts"|"Lbs"||2500|||||||"22426880"|"44874180"
"Grass-legume hay"|"Tons"||2.6||||||"IV"|"22426880"|"44874178"
"Barley"|"Bu"|53|53|66|||||"IV"|"22426880"|"44874175"
"Soybeans"|"Bu"|16|22|22|||||"IV"|"22426880"|"44874181"
"Pasture"|"AUM"||7||||||"IV"|"22426880"|"44874179"
"Wheat"|"Bu"|42|42|53|||||"IV"|"22426880"|"44874182"
"Corn"|"Bu"||75||||||"IVb"|"22426880"|"44874176"
"Peanuts"|"Lbs"||3700|||||||"22426882"|"44874185"
"Grass-legume hay"|"Tons"||5||||||"I"|"22426882"|"44874183"
"Barley"|"Bu"|80|80|100|||||"I"|"22426882"|"44874190"
"Wheat"|"Bu"|64|64|80|||||"I"|"22426882"|"44874188"
"Pasture"|"AUM"||9.5||||||"I"|"22426882"|"44874186"
"Soybeans"|"Bu"|32|40|40|||||"II"|"22426882"|"44874189"
"Corn"|"Bu"||130||||||"IIb"|"22426882"|"44874187"
"Alfalfa hay"|"Tons"||4||||||"III"|"22426882"|"44874184"
"Oats"|"Bu"||70|||||||"22426929"|"44874303"
"Peanuts"|"Lbs"||3000|||||||"22426929"|"44874304"
"Barley"|"Bu"|80|80|100|||||"I"|"22426929"|"44874309"
"Wheat"|"Bu"|64|64|80|||||"I"|"22426929"|"44874308"
"Grass-legume hay"|"Tons"||4||||||"II"|"22426929"|"44874302"
"Soybeans"|"Bu"|34|40|40|||||"II"|"22426929"|"44874307"
"Pasture"|"AUM"||8||||||"II"|"22426929"|"44874305"
"Corn"|"Bu"||140||||||"IIa"|"22426929"|"44874306"
"Cotton lint"|"Lbs"||600|||||||"22426951"|"44874389"
"Peanuts"|"Lbs"||3700|||||||"22426951"|"44874390"
"Grass-legume hay"|"Tons"||4||||||"II"|"22426951"|"44874392"
"Barley"|"Bu"|70|70|88|||||"II"|"22426951"|"44874394"
"Soybeans"|"Bu"|30|40|40||60|||"II"|"22426951"|"44874388"
"Pasture"|"AUM"||8.5||||||"II"|"22426951"|"44874391"
"Wheat"|"Bu"|56|56|70|||||"II"|"22426951"|"44874393"
"Alfalfa hay"|"Tons"||4||||||"III"|"22426951"|"44874386"
