"Sandy clay"||"133553215"|"135839093"
"Fine sand"||"133552857"|"135839353"
"Silty clay"||"133553130"|"135839262"
"Loam"||"133553279"|"135839014"
"Loamy fine sand"||"133553374"|"135839148"
"Sandy clay loam"||"133552899"|"135839512"
"Loam"||"133552973"|"135839221"
"Sand"||"133553337"|"135839097"
"Silty clay loam"||"133553474"|"135839299"
"Sandy loam"||"133553300"|"135839473"
"Silty clay loam"||"133553331"|"135839270"
"Sandy clay loam"||"133553448"|"135839407"
"Fine sandy loam"||"133553263"|"135839644"
"Sandy loam"||"133553353"|"135839183"
"Sandy clay"||"133553289"|"135839181"
"Sandy clay"||"133553411"|"135838995"
"Loam"||"133553226"|"135839236"
"Fine sandy loam"||"133553341"|"135839543"
"Sandy loam"||"133553180"|"135839378"
"Sandy clay loam"||"133552961"|"135839548"
"Loamy sand"||"133553253"|"135839340"
"Silt loam"||"133553099"|"135839593"
"Fine sand"||"133553086"|"135839078"
"Loam"||"133553036"|"135839394"
"Fine sandy loam"||"133553400"|"135839614"
"Very fine sandy loam"||"133553034"|"135839235"
"Sandy loam"||"133553047"|"135838997"
"Sandy loam"||"133552846"|"135839024"
"Loamy fine sand"||"133552815"|"135839152"
"Loam"||"133553456"|"135839120"
"Loamy sand"||"133553363"|"135839195"
"Sandy loam"||"133553305"|"135839144"
"Sandy loam"||"133553193"|"135839224"
"Loam"||"133552962"|"135839382"
"Clay loam"||"133552804"|"135839320"
"Sand"||"133552950"|"135839598"
"Sandy clay loam"||"133553202"|"135839555"
"Fine sandy loam"||"133553023"|"135839082"
"Fine sandy loam"||"133553242"|"135839259"
"Sandy loam"||"133553352"|"135839523"
"Sandy loam"||"133553326"|"135839569"
"Sandy loam"||"133553169"|"135839209"
"Sandy clay"||"133552888"|"135839477"
"Sandy clay loam"||"133552983"|"135839223"
"Clay loam"||"133553485"|"135839192"
"Sandy loam"||"133553128"|"135839054"
"Fine sandy loam"||"133553463"|"135839128"
"Loam"||"133553489"|"135839454"
"Sandy loam"||"133553368"|"135839197"
"Fine sand"||"133553231"|"135839156"
|"Muck"|"133553121"|"135839090"
"Fine sandy loam"||"133553304"|"135839482"
"Sandy clay loam"||"133552878"|"135839475"
"Silty clay"||"133552805"|"135839321"
"Loam"||"133553097"|"135839506"
"Fine sandy loam"||"133553316"|"135839252"
"Silty clay loam"||"133552930"|"135839107"
"Clay loam"||"133553025"|"135839084"
"Sandy clay loam"||"133553149"|"135839424"
"Clay loam"||"133553389"|"135839608"
"Sandy loam"||"133553108"|"135838957"
"Loamy sand"||"133553327"|"135839241"
"Sand"||"133553016"|"135839243"
"Clay loam"||"133553511"|"135839652"
"Clay loam"||"133552867"|"135839649"
"Sandy clay loam"||"133552909"|"135839174"
"Clay loam"||"133552982"|"135839552"
"Fine sandy loam"||"133553426"|"135839617"
"Fine sandy loam"||"133552951"|"135839274"
"Sandy loam"||"133553110"|"135839291"
"Clay"||"133552866"|"135839619"
"Sandy clay loam"||"133552889"|"135839139"
"Loam"||"133553315"|"135839580"
"Sandy clay loam"||"133553342"|"135839379"
"Sandy clay"||"133553257"|"135839507"
"Loam"||"133552940"|"135839188"
"Loamy fine sand"||"133552856"|"135839352"
"Sandy loam"||"133552972"|"135839549"
"Fine sandy loam"||"133553191"|"135839050"
"Clay loam"||"133552877"|"135839136"
"Fine sandy loam"||"133553290"|"135839131"
"Loamy fine sand"||"133553088"|"135839080"
"Fine sandy loam"||"133553378"|"135838987"
"Loam"||"133552993"|"135839032"
"Sandy clay loam"||"133553500"|"135839658"
"Sand"||"133553415"|"135839006"
"Silty clay"||"133553294"|"135838967"
"Sandy loam"||"133553204"|"135839388"
