"MK-VFSL"|No |No |"Mucky very fine sandy loam"|"65682910"|"132365811"
"MK-SIL"|No |No |"Mucky silt loam"|"65682910"|"132365810"
"SL"|No |No |"Sandy loam"|"65682910"|"132365809"
"VFSL"|No |Yes|"Very fine sandy loam"|"65682910"|"132365808"
"SR- FSL LFS FS"|Yes|Yes|"Stratified fine sandy loam to loamy fine sand to fine sand"|"65682796"|"132365419"
"S"|No |No |"Sand"|"65682796"|"132365418"
"GR-SL"|No |No |"Gravelly sandy loam"|"65682796"|"132365417"
"FSL"|No |No |"Fine sandy loam"|"65682796"|"132365416"
"SL"|No |No |"Sandy loam"|"65682796"|"132365415"
"LFS"|No |Yes|"Loamy fine sand"|"65682836"|"132365549"
"S"|No |No |"Sand"|"65682836"|"132365548"
"FS"|No |No |"Fine sand"|"65682836"|"132365547"
"LS"|No |No |"Loamy sand"|"65682836"|"132365546"
"L"|No |Yes|"Loam"|"65682807"|"132365455"
"SIL"|No |No |"Silt loam"|"65682807"|"132365454"
"FSL"|No |No |"Fine sandy loam"|"65682807"|"132365453"
"LS"|No |Yes|"Loamy sand"|"65682899"|"132365778"
"SR- S SCL"|Yes|No |"Stratified sand to sandy clay loam"|"65682899"|"132365777"
"LS"|No |No |"Loamy sand"|"65682873"|"132365690"
"FSL"|No |Yes|"Fine sandy loam"|"65682873"|"132365689"
"L"|No |No |"Loam"|"65682873"|"132365688"
"SL"|No |No |"Sandy loam"|"65682873"|"132365687"
"SL"|No |No |"Sandy loam"|"65682877"|"132365703"
"FSL"|No |Yes|"Fine sandy loam"|"65682877"|"132365702"
"L"|No |No |"Loam"|"65682877"|"132365701"
"MUCK"|No |No |"Muck"|"65682936"|"132365905"
"MK-L"|No |Yes|"Mucky loam"|"65682936"|"132365906"
"SL"|No |No |"Sandy loam"|"65682936"|"132365907"
"FSL"|No |No |"Fine sandy loam"|"65682936"|"132365908"
"L"|No |No |"Loam"|"65682936"|"132365909"
"SIL"|No |No |"Silt loam"|"65682936"|"132365910"
"SR- COS LFS"|Yes|No |"Stratified coarse sand to loamy fine sand"|"65682851"|"132365607"
"LFS"|No |No |"Loamy fine sand"|"65682851"|"132365606"
"COS"|No |No |"Coarse sand"|"65682851"|"132365605"
"LS"|No |Yes|"Loamy sand"|"65682851"|"132365604"
"L"|No |No |"Loam"|"65682799"|"132365428"
"SIL"|No |Yes|"Silt loam"|"65682799"|"132365427"
"SIC"|No |Yes|"Silty clay"|"65682825"|"132365512"
"C"|No |No |"Clay"|"65682825"|"132365511"
"SICL"|No |No |"Silty clay loam"|"65682825"|"132365510"
"CL"|No |No |"Clay loam"|"65682825"|"132365509"
"SIL"|No |Yes|"Silt loam"|"65682932"|"132365891"
"L"|No |No |"Loam"|"65682932"|"132365892"
"FSL"|No |No |"Fine sandy loam"|"65682932"|"132365893"
"SL"|No |No |"Sandy loam"|"65682833"|"132365540"
"C"|No |No |"Clay"|"65682833"|"132365539"
"SC"|No |No |"Sandy clay"|"65682833"|"132365538"
"SCL"|No |Yes|"Sandy clay loam"|"65682833"|"132365537"
"SIC"|No |No |"Silty clay"|"65682943"|"132365929"
"MK-C"|No |No |"Mucky clay"|"65682943"|"132365930"
"MK-SIC"|No |Yes|"Mucky silty clay"|"65682943"|"132365931"
"SC"|No |No |"Sandy clay"|"65682803"|"132365443"
"C"|No |No |"Clay"|"65682803"|"132365442"
"SIC"|No |Yes|"Silty clay"|"65682803"|"132365441"
"C"|No |No |"Clay"|"65682914"|"132365821"
"LS"|No |No |"Loamy sand"|"65682914"|"132365822"
"SCL"|No |Yes|"Sandy clay loam"|"65682914"|"132365823"
"SL"|No |No |"Sandy loam"|"65682914"|"132365824"
"SC"|No |No |"Sandy clay"|"65682914"|"132365825"
"FSL"|No |No |"Fine sandy loam"|"65682840"|"132365561"
"L"|No |No |"Loam"|"65682840"|"132365560"
"SIL"|No |Yes|"Silt loam"|"65682840"|"132365559"
"FSL"|No |Yes|"Fine sandy loam"|"65682925"|"132365868"
"LFS"|No |No |"Loamy fine sand"|"65682925"|"132365869"
"VFSL"|No |No |"Very fine sandy loam"|"65682888"|"132365739"
"FSL"|No |Yes|"Fine sandy loam"|"65682888"|"132365738"
"L"|No |No |"Loam"|"65682888"|"132365737"
"SL"|No |No |"Sandy loam"|"65682888"|"132365736"
"FSL"|No |No |"Fine sandy loam"|"65682953"|"132365971"
"SIL"|No |No |"Silt loam"|"65682953"|"132365972"
"L"|No |No |"Loam"|"65682953"|"132365973"
"SL"|No |Yes|"Sandy loam"|"65682953"|"132365974"
"VFSL"|No |No |"Very fine sandy loam"|"65682953"|"132365975"
"LCOS"|No |No |"Loamy coarse sand"|"65682862"|"132365650"
"FS"|No |No |"Fine sand"|"65682862"|"132365649"
"S"|No |No |"Sand"|"65682862"|"132365648"
"LS"|No |No |"Loamy sand"|"65682862"|"132365647"
"GR-S"|No |Yes|"Gravelly sand"|"65682862"|"132365646"
"LFS"|No |No |"Loamy fine sand"|"65682862"|"132365645"
"SCL"|No |No |"Sandy clay loam"|"65682917"|"132365835"
"SC"|No |No |"Sandy clay"|"65682917"|"132365836"
"CL"|No |No |"Clay loam"|"65682917"|"132365837"
"C"|No |Yes|"Clay"|"65682917"|"132365838"
"SIC"|No |No |"Silty clay"|"65682917"|"132365839"
"SICL"|No |No |"Silty clay loam"|"65682917"|"132365840"
"SCL"|No |Yes|"Sandy clay loam"|"65682951"|"132365962"
"SL"|No |No |"Sandy loam"|"65682951"|"132365963"
"SC"|No |No |"Sandy clay"|"65682951"|"132365964"
"C"|No |No |"Clay"|"65682951"|"132365965"
"LS"|No |No |"Loamy sand"|"65682951"|"132365966"
"MUCK"|No |Yes|"Muck"|"65682814"|"132365478"
"SCL"|No |Yes|"Sandy clay loam"|"65682952"|"132365967"
"SC"|No |No |"Sandy clay"|"65682952"|"132365968"
"C"|No |No |"Clay"|"65682952"|"132365969"
"SL"|No |No |"Sandy loam"|"65682952"|"132365970"
"SIL"|No |Yes|"Silt loam"|"65682818"|"132365488"
"L"|No |No |"Loam"|"65682818"|"132365487"
"VFSL"|No |No |"Very fine sandy loam"|"65682818"|"132365486"
"LFS"|No |No |"Loamy fine sand"|"65682891"|"132365753"
"LS"|No |No |"Loamy sand"|"65682891"|"132365752"
"L"|No |No |"Loam"|"65682891"|"132365751"
"SL"|No |No |"Sandy loam"|"65682891"|"132365750"
"FSL"|No |Yes|"Fine sandy loam"|"65682891"|"132365749"
"FSL"|No |Yes|"Fine sandy loam"|"65682940"|"132365920"
"LFS"|No |No |"Loamy fine sand"|"65682940"|"132365921"
"FSL"|No |Yes|"Fine sandy loam"|"65682929"|"132365881"
"SCL"|No |No |"Sandy clay loam"|"65682929"|"132365882"
"CL"|No |No |"Clay loam"|"65682929"|"132365883"
"L"|No |No |"Loam"|"65682929"|"132365884"
"MK-SICL"|No |Yes|"Mucky silty clay loam"|"65682844"|"132365577"
"C"|No |No |"Clay"|"65682844"|"132365576"
"SIC"|No |No |"Silty clay"|"65682844"|"132365575"
"LFS"|No |No |"Loamy fine sand"|"65682907"|"132365803"
"FSL"|No |Yes|"Fine sandy loam"|"65682907"|"132365802"
"L"|No |No |"Loam"|"65682881"|"132365716"
"SCL"|No |No |"Sandy clay loam"|"65682881"|"132365715"
"FSL"|No |Yes|"Fine sandy loam"|"65682881"|"132365714"
"L"|No |No |"Loam"|"65682870"|"132365678"
"SL"|No |No |"Sandy loam"|"65682870"|"132365677"
"FSL"|No |Yes|"Fine sandy loam"|"65682870"|"132365676"
"LS"|No |No |"Loamy sand"|"65682829"|"132365526"
"GR-S"|No |No |"Gravelly sand"|"65682829"|"132365525"
"LFS"|No |No |"Loamy fine sand"|"65682829"|"132365524"
"FS"|No |No |"Fine sand"|"65682829"|"132365523"
"S"|No |Yes|"Sand"|"65682829"|"132365522"
"FSL"|No |Yes|"Fine sandy loam"|"65682928"|"132365877"
"L"|No |No |"Loam"|"65682928"|"132365878"
"LFS"|No |No |"Loamy fine sand"|"65682928"|"132365879"
"LS"|No |No |"Loamy sand"|"65682928"|"132365880"
"L"|No |No |"Loam"|"65682903"|"132365792"
"SCL"|No |No |"Sandy clay loam"|"65682903"|"132365791"
"FSL"|No |Yes|"Fine sandy loam"|"65682903"|"132365790"
"LFS"|No |No |"Loamy fine sand"|"65682876"|"132365700"
"FSL"|No |Yes|"Fine sandy loam"|"65682876"|"132365699"
"CL"|No |No |"Clay loam"|"65682902"|"132365789"
"SCL"|No |Yes|"Sandy clay loam"|"65682902"|"132365788"
"FSL"|No |No |"Fine sandy loam"|"65682902"|"132365787"
"L"|No |No |"Loam"|"65682902"|"132365786"
"LS"|No |Yes|"Loamy sand"|"65682913"|"132365819"
"S"|No |No |"Sand"|"65682913"|"132365820"
"LFS"|No |No |"Loamy fine sand"|"65682892"|"132365758"
"SL"|No |No |"Sandy loam"|"65682892"|"132365757"
"LS"|No |No |"Loamy sand"|"65682892"|"132365756"
"S"|No |Yes|"Sand"|"65682892"|"132365755"
"FS"|No |No |"Fine sand"|"65682892"|"132365754"
"LS"|No |Yes|"Loamy sand"|"65682950"|"132365960"
"S"|No |No |"Sand"|"65682950"|"132365961"
"S"|No |No |"Sand"|"65682944"|"132365932"
"C"|No |No |"Clay"|"65682944"|"132365933"
"SL"|No |No |"Sandy loam"|"65682944"|"132365934"
"MK-SL"|No |No |"Mucky sandy loam"|"65682944"|"132365935"
"SR- MK-SL SL"|Yes|Yes|"Stratified mucky sandy loam to sandy loam"|"65682944"|"132365936"
"LS"|No |No |"Loamy sand"|"65682939"|"132365916"
"FS"|No |No |"Fine sand"|"65682939"|"132365917"
"S"|No |No |"Sand"|"65682939"|"132365918"
"LFS"|No |Yes|"Loamy fine sand"|"65682939"|"132365919"
"SICL"|No |No |"Silty clay loam"|"65682855"|"132365621"
"SIC"|No |No |"Silty clay"|"65682855"|"132365620"
"C"|No |Yes|"Clay"|"65682855"|"132365619"
"CL"|No |No |"Clay loam"|"65682855"|"132365618"
"FSL"|No |No |"Fine sandy loam"|"65682866"|"132365664"
"CL"|No |No |"Clay loam"|"65682866"|"132365663"
"L"|No |No |"Loam"|"65682866"|"132365662"
"SCL"|No |Yes|"Sandy clay loam"|"65682866"|"132365661"
"FSL"|No |Yes|"Fine sandy loam"|"65682918"|"132365841"
"S"|No |No |"Sand"|"65682918"|"132365842"
"LS"|No |No |"Loamy sand"|"65682918"|"132365843"
"SL"|No |No |"Sandy loam"|"65682918"|"132365844"
"SR- S C"|Yes|No |"Stratified sand to clay"|"65682918"|"132365845"
"FS"|No |No |"Fine sand"|"65682885"|"132365731"
"S"|No |Yes|"Sand"|"65682885"|"132365730"
"COS"|No |No |"Coarse sand"|"65682885"|"132365729"
"L"|No |No |"Loam"|"65682865"|"132365660"
"SL"|No |No |"Sandy loam"|"65682865"|"132365659"
"FSL"|No |Yes|"Fine sandy loam"|"65682865"|"132365658"
"L"|No |No |"Loam"|"65682852"|"132365610"
"SIL"|No |Yes|"Silt loam"|"65682852"|"132365609"
"VFSL"|No |No |"Very fine sandy loam"|"65682852"|"132365608"
"SIL"|No |Yes|"Silt loam"|"65682960"|"132366002"
"L"|No |No |"Loam"|"65682960"|"132366003"
"FSL"|No |No |"Fine sandy loam"|"65682960"|"132366004"
"FSL"|No |Yes|"Fine sandy loam"|"65682843"|"132365574"
"S"|No |No |"Sand"|"65682843"|"132365573"
"SL"|No |No |"Sandy loam"|"65682843"|"132365572"
"SCL"|No |No |"Sandy clay loam"|"65682843"|"132365571"
"LCOS"|No |No |"Loamy coarse sand"|"65682861"|"132365644"
"S"|No |No |"Sand"|"65682861"|"132365643"
"FS"|No |No |"Fine sand"|"65682861"|"132365642"
"LFS"|No |No |"Loamy fine sand"|"65682861"|"132365641"
"LS"|No |Yes|"Loamy sand"|"65682861"|"132365640"
"LFS"|No |Yes|"Loamy fine sand"|"65682830"|"132365529"
"S"|No |No |"Sand"|"65682830"|"132365528"
"LS"|No |No |"Loamy sand"|"65682830"|"132365527"
"SL"|No |No |"Sandy loam"|"65682946"|"132365942"
"FSL"|No |No |"Fine sandy loam"|"65682946"|"132365943"
"L"|No |No |"Loam"|"65682946"|"132365944"
"LS"|No |No |"Loamy sand"|"65682946"|"132365945"
"LFS"|No |Yes|"Loamy fine sand"|"65682946"|"132365946"
"FSL"|No |Yes|"Fine sandy loam"|"65682924"|"132365865"
"SCL"|No |No |"Sandy clay loam"|"65682924"|"132365866"
"L"|No |No |"Loam"|"65682924"|"132365867"
"SICL"|No |No |"Silty clay loam"|"65682841"|"132365566"
"SIC"|No |No |"Silty clay"|"65682841"|"132365565"
"SC"|No |No |"Sandy clay"|"65682841"|"132365564"
"C"|No |No |"Clay"|"65682841"|"132365563"
"CL"|No |Yes|"Clay loam"|"65682841"|"132365562"
"FSL"|No |No |"Fine sandy loam"|"65682863"|"132365653"
"L"|No |No |"Loam"|"65682863"|"132365652"
"SIL"|No |Yes|"Silt loam"|"65682863"|"132365651"
"SL"|No |No |"Sandy loam"|"65682874"|"132365694"
"SCL"|No |Yes|"Sandy clay loam"|"65682874"|"132365693"
"CL"|No |No |"Clay loam"|"65682874"|"132365692"
"L"|No |No |"Loam"|"65682874"|"132365691"
"LCOS"|No |No |"Loamy coarse sand"|"65682948"|"132365950"
"FSL"|No |No |"Fine sandy loam"|"65682948"|"132365951"
"LS"|No |No |"Loamy sand"|"65682948"|"132365952"
"S"|No |Yes|"Sand"|"65682948"|"132365953"
"LFS"|No |No |"Loamy fine sand"|"65682948"|"132365954"
"SL"|No |No |"Sandy loam"|"65682948"|"132365955"
"FS"|No |No |"Fine sand"|"65682948"|"132365956"
"S"|No |Yes|"Sand"|"65682935"|"132365902"
"SR- S MK-SICL"|Yes|No |"Stratified sand to mucky silty clay loam"|"65682935"|"132365903"
"MUCK"|No |No |"Muck"|"65682935"|"132365904"
"LFS"|No |No |"Loamy fine sand"|"65682896"|"132365769"
"FSL"|No |Yes|"Fine sandy loam"|"65682896"|"132365768"
"FSL"|No |No |"Fine sandy loam"|"65682872"|"132365686"
"CL"|No |No |"Clay loam"|"65682872"|"132365685"
"L"|No |No |"Loam"|"65682872"|"132365684"
"SCL"|No |Yes|"Sandy clay loam"|"65682872"|"132365683"
"FSL"|No |Yes|"Fine sandy loam"|"65682802"|"132365440"
"S"|No |No |"Sand"|"65682802"|"132365439"
"SL"|No |No |"Sandy loam"|"65682802"|"132365438"
"SCL"|No |No |"Sandy clay loam"|"65682802"|"132365437"
"L"|No |No |"Loam"|"65682883"|"132365722"
"CL"|No |No |"Clay loam"|"65682883"|"132365721"
"SCL"|No |Yes|"Sandy clay loam"|"65682883"|"132365720"
"L"|No |Yes|"Loam"|"65682854"|"132365617"
"SIL"|No |No |"Silt loam"|"65682854"|"132365616"
"FSL"|No |No |"Fine sandy loam"|"65682854"|"132365615"
"CL"|No |No |"Clay loam"|"65682894"|"132365764"
"SCL"|No |Yes|"Sandy clay loam"|"65682894"|"132365763"
"FSL"|No |No |"Fine sandy loam"|"65682894"|"132365762"
"L"|No |No |"Loam"|"65682894"|"132365761"
"FSL"|No |Yes|"Fine sandy loam"|"65682904"|"132365794"
"L"|No |No |"Loam"|"65682904"|"132365793"
