"Loamy fine sand"||"132365776"|"134632929"
"Silty clay loam"||"132365482"|"134632633"
"Loamy fine sand"||"132365606"|"134632757"
"Sand"||"132365850"|"134633005"
"Fine sandy loam"||"132365920"|"134633078"
"Loam"||"132365421"|"134632572"
"Sandy clay loam"||"132365632"|"134632784"
"Silty clay"||"132365507"|"134632658"
"Silty clay loam"||"132365580"|"134632731"
"Fine sandy loam"||"132365747"|"134632900"
"Clay"||"132365654"|"134632806"
"Fine sandy loam"||"132365971"|"134633130"
"Very fine sandy loam"||"132365739"|"134632892"
"Loamy coarse sand"||"132365950"|"134633109"
"Loamy coarse sand"||"132365644"|"134632796"
"Fine sandy loam"||"132365702"|"134632854"
"Fine sandy loam"||"132365982"|"134633141"
"Loam"||"132365691"|"134632843"
"Silty clay loam"||"132365940"|"134633099"
"Sandy loam"||"132365596"|"134632747"
"Loam"||"132365909"|"134633067"
"Sandy clay loam"||"132365665"|"134632817"
"Clay loam"||"132365721"|"134632873"
"Fine sandy loam"||"132365570"|"134632721"
"Clay loam"||"132365423"|"134632574"
"Loamy fine sand"||"132365607"|"134632759"
"Coarse sand"||"132365607"|"134632758"
"Sandy loam"||"132365872"|"134633027"
"Clay loam"||"132365992"|"134633152"
"Clay loam"||"132365618"|"134632770"
"Very fine sandy loam"||"132365591"|"134632742"
"Sandy loam"||"132365533"|"134632684"
"Silty clay"||"132365929"|"134633087"
"Loamy sand"||"132365471"|"134632622"
"Clay loam"||"132365728"|"134632881"
"Silty clay"||"132365484"|"134632635"
"Fine sandy loam"||"132365544"|"134632695"
"Sand"||"132365643"|"134632795"
"Fine sandy loam"||"132365802"|"134632956"
"Loam"||"132365710"|"134632862"
"Clay"||"132365894"|"134633050"
"Fine sandy loam"||"132365419"|"134632568"
"Loamy fine sand"||"132365419"|"134632569"
"Fine sand"||"132365419"|"134632570"
"Fine sandy loam"||"132365765"|"134632918"
"Fine sandy loam"||"132365865"|"134633020"
"Loam"||"132365813"|"134632967"
"Fine sandy loam"||"132365951"|"134633110"
"Sandy clay"||"132365443"|"134632594"
"Sand"||"132365522"|"134632673"
"Loamy sand"||"132365960"|"134633119"
"Very fine sandy loam"||"132365595"|"134632746"
"Sand"||"132365548"|"134632699"
"Silty clay"||"132365939"|"134633098"
"Fine sandy loam"||"132365857"|"134633012"
"Silt loam"||"132365559"|"134632710"
"Loam"||"132365617"|"134632769"
"Silty clay"||"132365732"|"134632885"
"Sandy clay loam"||"132365791"|"134632945"
"Silty clay"||"132365432"|"134632583"
"Clay loam"||"132365622"|"134632774"
"Fine sand"||"132365754"|"134632907"
"Sandy loam"||"132365659"|"134632811"
"Clay loam"||"132365633"|"134632785"
"Fine sandy loam"||"132365440"|"134632591"
"Silty clay"||"132365839"|"134632993"
"Sand"||"132365961"|"134633120"
