"SM"|No |"65682910"|"122448148"
"ML"|Yes|"65682910"|"122448145"
"SC-SM"|No |"65682910"|"122448147"
"CL-ML"|No |"65682910"|"122448146"
"SC"|Yes|"65682796"|"122447853"
"CL"|No |"65682796"|"122447851"
"SC-SM"|No |"65682796"|"122447854"
"CL-ML"|No |"65682796"|"122447852"
"SM"|No |"65682836"|"122447948"
"SP-SM"|No |"65682836"|"122447949"
"SC-SM"|Yes|"65682836"|"122447947"
"SM"|No |"65682807"|"122447885"
"SC"|No |"65682807"|"122447884"
"ML"|Yes|"65682807"|"122447883"
"CL"|No |"65682807"|"122447882"
"SM"|Yes|"65682899"|"122448117"
"SC"|No |"65682873"|"122448047"
"CL"|No |"65682873"|"122448045"
"SC-SM"|Yes|"65682873"|"122448046"
"CL-ML"|No |"65682873"|"122448044"
"SM"|No |"65682877"|"122448057"
"ML"|Yes|"65682877"|"122448056"
"PT"|Yes|"65682936"|"122448218"
"SP"|No |"65682851"|"122447988"
"SM"|No |"65682851"|"122447987"
"SW-SM"|No |"65682851"|"122447989"
"SC-SM"|Yes|"65682851"|"122447986"
"ML"|Yes|"65682799"|"122447862"
"CL-ML"|No |"65682799"|"122447863"
"ML"|Yes|"65682825"|"122447921"
"CL"|No |"65682825"|"122447923"
"CH"|No |"65682825"|"122447922"
"ML"|Yes|"65682932"|"122448203"
"SC"|No |"65682833"|"122447941"
"CL"|Yes|"65682833"|"122447940"
"MH"|Yes|"65682943"|"122448235"
"ML"|Yes|"65682803"|"122447872"
"MH"|No |"65682803"|"122447874"
"CH"|No |"65682803"|"122447873"
"SC"|Yes|"65682914"|"122448155"
"SC-SM"|No |"65682914"|"122448156"
"CL"|Yes|"65682840"|"122447960"
"SM"|Yes|"65682925"|"122448188"
"ML"|No |"65682925"|"122448186"
"SC-SM"|No |"65682925"|"122448187"
"SC-SM"|Yes|"65682888"|"122448084"
"CL-ML"|No |"65682888"|"122448083"
"SC"|No |"65682953"|"122448256"
"SC-SM"|Yes|"65682953"|"122448255"
"SW"|No |"65682862"|"122448019"
"SM"|No |"65682862"|"122448017"
"SC-SM"|Yes|"65682862"|"122448018"
"CL"|Yes|"65682917"|"122448162"
"CH"|No |"65682917"|"122448161"
"SC"|Yes|"65682951"|"122448251"
