MUKEY,hydgrp
285073,C/D
296129,D
296154,C/D
296155,D
296156,D
296157,C/D
296158,C/D
296159,A/D
296160,D
296161,D
296162,D
296163,D
296164,D
296165,D
296166,D
296167,C/D
296168,D
296169,D
296170,A
296171,A
296172,A
296173,D
296174,D
296175,D
296176,B/D
296177,C/D
296178,C/D
296179,C/D
296180,C/D
296181,C/D
296182,B
296183,B
296184,B/D
296185,B/D
296186,B/D
296188,B
296189,B/D
296190,B/D
296191,B/D
296193,D
296194,D
296195,B
296196,B
296197,B
296198,B
296199,B
296200,B
296201,D
296202,D
296203,D
296204,D
296205,D
296206,
296207,A
296208,A
296209,A
296210,A
296211,C/D
296212,C/D
296213,C/D
296214,C/D
296215,C/D
296216,D
296217,C/D
296218,C/D
296219,C/D
296220,D
296221,C/D
296222,C/D
296223,A
296224,A
296225,A
296226,A
296227,A
296228,A
296229,A
296230,A
296231,A
296232,A
296233,A
296234,A
296235,D
296236,D
296237,D
296238,D
296239,
296240,B/D
296241,C
296242,C
296243,C
296244,C
296246,A/D
296247,B/D
296249,D
296250,D
296251,D
296252,D
296253,D
296254,D
296255,B/D
296256,B/D
296257,B/D
296261,B
296263,
296264,C/D
296265,C/D
296266,B
296267,B
296268,B
296269,B/D
296270,D
296271,D
296272,C
296273,C
296274,C
296275,C
296276,C
296277,D
296278,D
296279,D
296280,C
296281,C
296282,C/D
296283,C
296284,C/D
296285,A
296286,A
296287,A
296288,D
296289,D
296290,B
296291,B
296292,B
296293,B
296294,B
296295,
296296,A
296297,A
296298,A
296299,D
296300,B
296301,B
296302,A
296303,A
296304,B/D
296305,C/D
296306,C/D
296307,C/D
296308,D
296309,D
296310,D
296311,C
296312,C
296313,C
296314,C
296315,C
296316,C
296317,B
296318,B
296319,C/D
296320,A
296321,A
296322,A
296323,C
296324,C
296325,C
296326,C
296327,C
296328,C
296329,D
296330,D
296331,D
296332,D
296333,C
296334,C
296335,C
296336,C
296337,C
296338,D
296339,D
296340,D
296341,A/D
296342,B/D
296343,C
296344,C
296345,C
296346,C
296347,C
296348,C
296349,B
296350,B
296351,D
296352,D
296353,A
296354,A
296355,D
296356,C/D
296357,C/D
296358,C
296359,C
296360,C
296361,C
296362,A
296363,A
296364,D
296365,D
296366,D
296367,D
296368,C
296369,C/D
296370,D
296371,D
296372,D
296373,D
296374,D
296375,D
296376,D
296377,D
296378,D
296379,D
296380,C
296381,C
296382,C/D
296383,C
296384,C
296385,A
296386,A
296387,A
296388,A
296389,A
296390,
296391,C/D
296392,C/D
296393,A
296394,C/D
296395,B/D
296396,A/D
296397,C/D
296398,C
296399,C
296403,D
296404,C
296405,D
296406,D
296407,D
296408,D
296409,B/D
296410,C
296411,C
296412,C
296413,C
296414,C
296415,C
296416,C
296417,C
296418,C
296419,C/D
296420,C/D
296421,C/D
296422,
296423,A
296424,A
296425,A
296426,D
296427,D
296428,D
296429,A
296430,A
296431,A
296432,B/D
296433,C
296434,C
296435,C/D
296436,C/D
296437,D
296438,D
296439,C
296440,C
296441,C
296442,C
296443,C
296444,C
296445,A
296446,A
296447,A
296448,A
296449,D
296450,D
296451,D
296452,D
296453,D
296454,C
296455,C
296456,C
296457,C
296458,C
296459,
296460,A
296461,
296462,D
296463,D
296464,D
296465,D
296466,A/D
296467,C
296468,C
296469,C
296470,C
296471,C
296472,C
296473,
296474,B
296475,B
296476,B
296477,B
296478,B
296479,D
296480,D
296481,C/D
296482,C/D
296483,
296484,
296485,
296486,D
296487,D
296488,D
296489,D
296490,
296491,C/D
296492,D
296493,D
296494,D
296495,D
296496,D
296497,D
296498,D
296499,D
296500,C
296501,C
296502,C
296503,C
296504,C
296505,A
296506,A
296588,D
296589,D
296590,D
296591,B
296592,B/D
296593,C
296594,B/D
296595,A
296596,C
296597,C
296598,C
296599,C
296600,C
296601,A/D
296602,D
296603,D
296604,D
296605,D
296606,D
296607,D
296608,D
296609,D
296610,D
296611,D
296612,D
296613,D
296614,C
296615,C
296616,C
296617,C
296618,C
296619,C
296620,
296621,
296622,D
296623,
296624,C
296625,C
296626,C
296627,C
296628,C
296629,D
296630,D
296631,D
296632,D
296633,D
296634,D
296635,D
296636,D
296637,D
296638,D
296639,D
296640,A
296641,A
296642,A
296643,A
296644,
296744,A
296745,C/D
296746,D
296747,D
296748,C/D
296749,D
296750,A
296751,D
296752,D
296753,
296754,A
296755,B/D
296756,A
296757,C
296758,C
296759,C
296760,C
296761,C
296762,D
296763,D
296764,D
296765,D
296766,D
296767,A/D
296768,D
296769,D
296770,D
296771,D
296772,D
