"ARIST"|"Aristida"|"threeawn"|13||"22426519"|"93528595"
"PANIC"|"Panicum"|"panicum"|12||"22426519"|"93528596"
"2FP"||"other perennial forbs"|3||"22426519"|"93528597"
"QUPU80"|"Quercus pumila"|"running oak"|6||"22426519"|"93528598"
"SCSCD2"|"Schizachyrium scoparium ssp. divergens"|"little bluestem"|50||"22426519"|"93528599"
"2SD"||"other  shrubs"|3||"22426519"|"93528600"
"2FA"||"other annual forbs"|5||"22426520"|"93528601"
"ANVIG2"|"Andropogon virginicus var. glaucus"|"chalky bluestem"|30||"22426520"|"93528602"
"ARST5"|"Aristida stricta"|"pineland threeawn"|5||"22426520"|"93528603"
"PANIC"|"Panicum"|"panicum"|5||"22426520"|"93528604"
"SCST2"|"Schizachyrium stoloniferum"|"creeping bluestem"|10||"22426520"|"93528605"
"SERE2"|"Serenoa repens"|"saw palmetto"|5||"22426520"|"93528606"
"SOSE5"|"Sorghastrum secundum"|"lopsided Indiangrass"|10||"22426520"|"93528607"
"ACRU"|"Acer rubrum"|"red maple"|||"22426521"|"93528608"
"ILOP"|"Ilex opaca"|"American holly"|||"22426521"|"93528609"
"MOCE2"|"Morella cerifera"|"wax myrtle"|||"22426521"|"93528610"
"SANI"|"Salix nigra"|"black willow"|||"22426521"|"93528611"
"SMILA2"|"Smilax"|"greenbrier"|||"22426521"|"93528612"
"ACRU"|"Acer rubrum"|"red maple"|||"22426481"|"93528422"
"ILOP"|"Ilex opaca"|"American holly"|||"22426481"|"93528423"
"MOCE2"|"Morella cerifera"|"wax myrtle"|||"22426481"|"93528424"
"SANI"|"Salix nigra"|"black willow"|||"22426481"|"93528425"
"SMILA2"|"Smilax"|"greenbrier"|||"22426481"|"93528426"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426482"|"93528427"
"DIVI5"|"Diospyros virginiana"|"common persimmon"|||"22426482"|"93528428"
"KALA"|"Kalmia latifolia"|"mountain laurel"|||"22426482"|"93528429"
"SAAL5"|"Sassafras albidum"|"sassafras"|||"22426482"|"93528430"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426483"|"93528431"
"DIVI5"|"Diospyros virginiana"|"common persimmon"|||"22426483"|"93528432"
"KALA"|"Kalmia latifolia"|"mountain laurel"|||"22426483"|"93528433"
"SAAL5"|"Sassafras albidum"|"sassafras"|||"22426483"|"93528434"
"ACRU"|"Acer rubrum"|"red maple"|||"22426484"|"93528435"
"ILOP"|"Ilex opaca"|"American holly"|||"22426484"|"93528436"
"MOCE2"|"Morella cerifera"|"wax myrtle"|||"22426484"|"93528437"
"SANI"|"Salix nigra"|"black willow"|||"22426484"|"93528438"
"SMILA2"|"Smilax"|"greenbrier"|||"22426484"|"93528439"
"OXAR"|"Oxydendrum arboreum"|"sourwood"|||"22426466"|"93528337"
"SMILA2"|"Smilax"|"greenbrier"|||"22426466"|"93528338"
"CORNU"|"Cornus"|"dogwood"|||"22426466"|"93528339"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426467"|"93528340"
"ILOP"|"Ilex opaca"|"American holly"|||"22426467"|"93528341"
"SMILA2"|"Smilax"|"greenbrier"|||"22426467"|"93528342"
"VACCI"|"Vaccinium"|"blueberry"|||"22426467"|"93528343"
"ARGI"|"Arundinaria gigantea"|"giant cane"|||"22426468"|"93528344"
"ILGL"|"Ilex glabra"|"inkberry"|||"22426468"|"93528345"
"SMILA2"|"Smilax"|"greenbrier"|||"22426468"|"93528346"
"VAAT"|"Vaccinium atrococcum"|"downy blueberry"|||"22426468"|"93528347"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426503"|"93528529"
"ILOP"|"Ilex opaca"|"American holly"|||"22426503"|"93528530"
"SMILA2"|"Smilax"|"greenbrier"|||"22426503"|"93528531"
"VACCI"|"Vaccinium"|"blueberry"|||"22426503"|"93528532"
"ACRU"|"Acer rubrum"|"red maple"|||"22426504"|"93528533"
"ILOP"|"Ilex opaca"|"American holly"|||"22426504"|"93528534"
