"Fine sandy loam"||"133549299"|"135835552"
"Loam"||"133549174"|"135835457"
"Fine sandy loam"||"133548989"|"135835509"
"Loam"||"133549591"|"135835316"
"Loam"||"133549433"|"135835339"
"Loam"||"133549214"|"135835278"
"Loamy sand"||"133549185"|"135835226"
"Fine sandy loam"||"133549578"|"135835576"
"Sandy loam"||"133549277"|"135835386"
"Sand"||"133549507"|"135835237"
"Silty clay loam"||"133549148"|"135835177"
"Clay"||"133549251"|"135835213"
"Fine sandy loam"||"133549599"|"135835622"
"Sandy loam"||"133549432"|"135835493"
"Clay"||"133549496"|"135835233"
"Silty clay loam"||"133549288"|"135835597"
"Loam"||"133549610"|"135835223"
"Sandy loam"||"133549380"|"135835145"
"Sandy loam"||"133549443"|"135835495"
"Silty clay"||"133549229"|"135835330"
"Silt loam"||"133549495"|"135835066"
"Fine sandy loam"||"133549391"|"135835660"
"Sandy loam"||"133549401"|"135835220"
"Silty clay loam"||"133549349"|"135835665"
"Loam"||"133549000"|"135835294"
"Sandy clay"||"133549240"|"135835227"
"Sandy loam"||"133549310"|"135835449"
"Sand"||"133549422"|"135835150"
"Loam"||"133549336"|"135835611"
"Silt loam"||"133549022"|"135835246"
"Loamy sand"||"133549517"|"135835166"
"Sandy loam"||"133549166"|"135835304"
"Silty clay loam"||"133549137"|"135835346"
"Sand"||"133549338"|"135835613"
"Sandy clay loam"||"133549505"|"135835562"
"Sand"||"133549203"|"135835635"
"Silty clay loam"||"133549484"|"135835642"
"Fine sandy loam"||"133549104"|"135835129"
"Silt loam"||"133549177"|"135835276"
"Clay loam"||"133549400"|"135835195"
"Silt loam"||"133549133"|"135835174"
"Silt loam"||"133549284"|"135835443"
"Sand"||"133549390"|"135835624"
"Loam"||"133549527"|"135835116"
"Sandy loam"||"133549159"|"135835556"
"Fine sandy loam"||"133549303"|"135835086"
"Loam"||"133549332"|"135835307"
"Sand"||"133549516"|"135835165"
"Silt loam"||"133549423"|"135835272"
"Fine sand"||"133549464"|"135835547"
"Loam"||"133549181"|"135835103"
"Loamy sand"||"133549266"|"135835683"
"Loamy sand"||"133549078"|"135835401"
"Sandy loam"||"133549412"|"135835321"
"Clay"||"133549026"|"135835076"
"Clay loam"||"133549485"|"135835643"
"Loam"||"133549089"|"135835637"
"Loam"||"133549037"|"135835461"
"Sandy loam"||"133549571"|"135835077"
"Sand"||"133549115"|"135835205"
"Sand"||"133549506"|"135835389"
"Sand"||"133549474"|"135835593"
"Sandy clay loam"||"133549218"|"135835586"
"Fine sandy loam"||"133549292"|"135835292"
"Silt loam"||"133549192"|"135835479"
"Clay loam"||"133549122"|"135835570"
"Sand"||"133549295"|"135835122"
"Loam"||"133549170"|"135835608"
"Loam"||"133549011"|"135835239"
"Sandy loam"||"133549255"|"135835111"
"Silty clay loam"||"133549321"|"135835360"
"Silt loam"||"133549411"|"135835472"
"Loamy sand"||"133549560"|"135835659"
"Sandy loam"||"133549041"|"135835140"
"Fine sandy loam"||"133549329"|"135835135"
"Loamy sand"||"133549466"|"135835489"
"Loam"||"133549600"|"135835468"
"Silt loam"||"133549247"|"135835518"
"Sandy clay loam"||"133549189"|"135835377"
"Clay loam"||"133549611"|"135835224"
"Sandy clay loam"||"133549015"|"135835070"
"Loamy fine sand"||"133549392"|"135835196"
"Fine sandy loam"||"133549178"|"135835431"
"Fine sandy loam"||"133549225"|"135835159"
"Loam"||"133549444"|"135835650"
"Fine sandy loam"||"133549173"|"135835305"
"Fine sand"||"133549111"|"135835240"
"Silt loam"||"133549475"|"135835112"
"Loam"||"133549136"|"135835073"
"Sandy loam"||"133549215"|"135835433"
"Silty clay loam"||"133549063"|"135835476"
"Silty clay loam"||"133549558"|"135835188"
"Silty clay loam"||"133549100"|"135835301"
"Loam"||"133549525"|"135835441"
"Sandy clay loam"||"133549258"|"135835283"
"Fine sandy loam"||"133549431"|"135835492"
"Fine sandy loam"||"133549477"|"135835114"
"Silt loam"||"133549339"|"135835262"
"Fine sandy loam"||"133549368"|"135835314"
"Sandy loam"||"133549547"|"135835419"
"Loam"||"133549126"|"135835394"
"Clay"||"133549074"|"135835198"
"Clay loam"||"133549453"|"135835499"
"Silt loam"||"133549379"|"135835318"
"Clay loam"||"133549538"|"135835524"
"Silt loam"||"133549052"|"135835428"
"Clay loam"||"133549350"|"135835363"
"Loamy sand"||"133549569"|"135835399"
"Loam"||"133549056"|"135835430"
"Sandy loam"||"133549162"|"135835181"
"Sandy loam"||"133549580"|"135835578"
"Fine sandy loam"||"133549200"|"135835327"
"Sandy loam"||"133549361"|"135835615"
"Loam"||"133549314"|"135835127"
"Silty clay"||"133549473"|"135835592"
"Fine sandy loam"||"133549381"|"135835146"
"Silt loam"||"133549096"|"135835604"
"Sandy loam"||"133549004"|"135835599"
"Sandy loam"||"133549030"|"135835089"
"Fine sandy loam"||"133549067"|"135835630"
"Silt loam"||"133549059"|"135835151"
"Clay loam"||"133549348"|"135835504"
"Loamy sand"||"133549163"|"135835180"
"Sandy loam"||"133549199"|"135835481"
"Clay loam"||"133549236"|"135835436"
"Loam"||"133549494"|"135835232"
"Fine sandy loam"||"133548993"|"135835204"
"Loamy fine sand"||"133549568"|"135835352"
"Loamy sand"||"133549442"|"135835341"
"Silty clay"||"133549601"|"135835317"
"Sandy clay loam"||"133549455"|"135835500"
"Loam"||"133549357"|"135835265"
"Clay loam"||"133549262"|"135835215"
"Fine sandy loam"||"133549141"|"135835657"
"Sandy loam"||"133549210"|"135835379"
"Sandy clay loam"||"133549590"|"135835270"
"Fine sandy loam"||"133549221"|"135835482"
"Sandy loam"||"133549273"|"135835542"
"Loamy sand"||"133549486"|"135835644"
"Clay loam"||"133549589"|"135835423"
"Sandy loam"||"133549188"|"135835528"
"Sandy clay loam"||"133549152"|"135835178"
"Loam"||"133549579"|"135835577"
"Clay loam"||"133549549"|"135835420"
"Sandy loam"||"133549536"|"135835523"
"Silty clay loam"||"133549048"|"135835514"
"Loam"||"133549420"|"135835475"
"Loamy sand"||"133549085"|"135835199"
"Clay loam"||"133549497"|"135835067"
"Sandy clay loam"||"133549359"|"135835093"
"Clay loam"||"133549019"|"135835253"
"Loam"||"133549325"|"135835207"
"Silty clay"||"133549151"|"135835554"
"Silty clay"||"133549370"|"135835142"
"Silt loam"||"133549372"|"135835424"
"Fine sandy loam"||"133549594"|"135835466"
"Sandy clay loam"||"133549127"|"135835243"
"Clay loam"||"133549024"|"135835074"
"Silty clay"||"133549565"|"135835558"
"Sandy clay loam"||"133549398"|"135835193"
"Sandy clay loam"||"133549243"|"135835230"
"Silty clay"||"133549044"|"135835463"
"Loamy sand"||"133549462"|"135835545"
"Silt loam"||"133549117"|"135835259"
"Silty clay loam"||"133549023"|"135835185"
"Fine sandy loam"||"133549409"|"135835218"
"Fine sandy loam"||"133549446"|"135835497"
"Silty clay"||"133549351"|"135835515"
"Fine sandy loam"||"133549440"|"135835646"
"Silty clay loam"||"133549169"|"135835607"
"Loam"||"133549472"|"135835591"
"Sandy loam"||"133549285"|"135835594"
"Sandy loam"||"133549130"|"135835691"
"Sandy clay"||"133549276"|"135835536"
"Sand"||"133549045"|"135835312"
"Silty clay"||"133549483"|"135835641"
"Fine sandy loam"||"133549362"|"135835616"
"Fine sandy loam"||"133549135"|"135835345"
"Loam"||"133549542"|"135835673"
"Fine sandy loam"||"133549036"|"135835310"
"Loam"||"133549312"|"135835125"
"Loamy sand"||"133548995"|"135835663"
"Loam"||"133549153"|"135835503"
"Sandy loam"||"133549375"|"135835579"
"Fine sand"||"133549116"|"135835206"
"Loam"||"133549427"|"135835583"
"Loam"||"133549179"|"135835277"
"Clay loam"||"133549543"|"135835674"
"Sand"||"133549573"|"135835351"
"Clay loam"||"133549032"|"135835091"
"Sandy loam"||"133549438"|"135835648"
"Clay"||"133549264"|"135835217"
"Silty clay"||"133549020"|"135835405"
"Sandy loam"||"133549242"|"135835229"
"Sandy loam"||"133549458"|"135835170"
