"SC-SM"|No |"66293859"|"123593546"
"ML"|Yes|"66293859"|"123593548"
"SC"|No |"66293859"|"123593545"
"SM"|No |"66293859"|"123593547"
"SM"|Yes|"66293921"|"123593752"
"SM"|Yes|"66293871"|"123593588"
"SM"|Yes|"66293986"|"123593952"
"CH"|No |"66293934"|"123593787"
"CL"|No |"66293934"|"123593788"
"SC"|No |"66293934"|"123593789"
"SM"|Yes|"66293934"|"123593790"
"CL"|No |"66293945"|"123593826"
"ML"|Yes|"66293945"|"123593823"
"SC"|No |"66293945"|"123593824"
"SM"|No |"66293945"|"123593825"
"CL"|No |"66293860"|"123593552"
"ML"|Yes|"66293860"|"123593549"
"SC"|No |"66293860"|"123593550"
"SM"|No |"66293860"|"123593551"
"SC-SM"|No |"66293848"|"123593510"
"ML"|Yes|"66293848"|"123593512"
"SC"|No |"66293848"|"123593509"
"SM"|No |"66293848"|"123593511"
"SM"|Yes|"66293881"|"123593622"
"CH"|No |"66293997"|"123593982"
"CL"|No |"66293997"|"123593983"
"ML"|Yes|"66293997"|"123593984"
"CL"|No |"66293910"|"123593717"
"ML"|No |"66293910"|"123593716"
"SC"|No |"66293910"|"123593715"
"SM"|Yes|"66293910"|"123593714"
"SM"|Yes|"66293869"|"123593581"
"CH"|No |"66294019"|"123594043"
"MH"|No |"66294019"|"123594044"
"ML"|Yes|"66294019"|"123594045"
"CL"|No |"66293849"|"123593516"
"ML"|Yes|"66293849"|"123593513"
"SC"|No |"66293849"|"123593514"
"SM"|No |"66293849"|"123593515"
"CL"|No |"66293880"|"123593621"
"ML"|No |"66293880"|"123593620"
"SC"|No |"66293880"|"123593619"
"SM"|Yes|"66293880"|"123593618"
"SM"|Yes|"66293923"|"123593759"
"CL-ML"|No |"66294026"|"123594065"
"CL"|No |"66294026"|"123594064"
"ML"|Yes|"66294026"|"123594066"
"SP-SM"|No |"66293984"|"123593949"
"SW-SM"|No |"66293984"|"123593950"
"SM"|Yes|"66293984"|"123593948"
"SC-SM"|No |"66293891"|"123593649"
"ML"|Yes|"66293891"|"123593651"
"SC"|No |"66293891"|"123593648"
"SM"|No |"66293891"|"123593650"
"CL-ML"|No |"66293914"|"123593727"
"CL"|No |"66293914"|"123593726"
"ML"|Yes|"66293914"|"123593728"
"CL-ML"|Yes|"66294015"|"123594033"
"ML"|No |"66294015"|"123594034"
"SC-SM"|No |"66293912"|"123593720"
"CH"|No |"66293912"|"123593722"
"CL"|No |"66293912"|"123593721"
"MH"|No |"66293912"|"123593723"
"SC"|No |"66293912"|"123593719"
"SM"|Yes|"66293912"|"123593724"
"CL"|No |"66294008"|"123594013"
"ML"|Yes|"66294008"|"123594010"
"SC"|No |"66294008"|"123594011"
"SM"|No |"66294008"|"123594012"
"CH"|No |"66293995"|"123593977"
"MH"|No |"66293995"|"123593978"
"ML"|Yes|"66293995"|"123593979"
"SC-SM"|No |"66294028"|"123594072"
"ML"|Yes|"66294028"|"123594074"
"SC"|No |"66294028"|"123594071"
"SM"|No |"66294028"|"123594073"
"CL"|No |"66293973"|"123593921"
"ML"|Yes|"66293973"|"123593918"
"SC"|No |"66293973"|"123593919"
"SM"|No |"66293973"|"123593920"
"SC-SM"|No |"66293870"|"123593583"
"CH"|No |"66293870"|"123593585"
"CL"|No |"66293870"|"123593584"
"MH"|No |"66293870"|"123593586"
"SC"|No |"66293870"|"123593582"
"SM"|Yes|"66293870"|"123593587"
"CL-ML"|No |"66293975"|"123593927"
"CL"|No |"66293975"|"123593926"
"ML"|Yes|"66293975"|"123593928"
"CL"|No |"66293901"|"123593686"
"ML"|Yes|"66293901"|"123593683"
"SC"|No |"66293901"|"123593684"
"SM"|No |"66293901"|"123593685"
"CL-ML"|No |"66293890"|"123593645"
"SC-SM"|No |"66293890"|"123593647"
"CL"|No |"66293890"|"123593644"
"SC"|Yes|"66293890"|"123593646"
"SC-SM"|No |"66293922"|"123593754"
"CH"|No |"66293922"|"123593756"
"CL"|No |"66293922"|"123593755"
"MH"|No |"66293922"|"123593757"
"SC"|No |"66293922"|"123593753"
"SM"|Yes|"66293922"|"123593758"
"SP-SM"|Yes|"66294006"|"123594005"
"SP"|No |"66294006"|"123594004"
"SM"|Yes|"66293985"|"123593951"
"ML"|Yes|"66293933"|"123593785"
"SM"|No |"66293933"|"123593786"
"CL"|No |"66293964"|"123593893"
"ML"|Yes|"66293964"|"123593890"
"SC"|No |"66293964"|"123593891"
"SM"|No |"66293964"|"123593892"
